WD11CD,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E05000224,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000225,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000226,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000227,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000228,100.0,100.0,100.0,100.0,200.0,3.0
E05000229,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000230,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000231,100.0,100.0,100.0,100.0,200.0,3.0
E05000232,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000233,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000234,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000235,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000236,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000237,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000238,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000239,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000240,100.0,100.0,100.0,100.0,200.0,3.0
E05000241,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000242,100.0,100.0,100.0,100.0,200.0,3.0
E05000243,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000244,100.0,100.0,100.0,100.0,200.0,3.0
E05000245,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000246,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000247,100.0,100.0,100.0,100.0,200.0,3.0
E05000248,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000249,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0000000000000004
E05000250,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000251,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000252,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000253,100.0,100.0,100.0,100.0,200.0,3.0
E05000254,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000255,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000256,100.0,100.0,100.0,100.0,200.0,3.0
E05000257,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.999999999999999
E05000258,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0000000000000004
E05000259,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000260,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,2.9999999999999996
E05000261,100.0,100.0,100.0,100.0,200.0,3.0
E05000262,100.0,100.0,100.0,100.0,200.0,3.0
E05000263,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000264,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000265,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000266,100.0,100.0,100.0,100.0,200.0,3.0
E05000267,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.000000000000001
E05000268,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000269,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000270,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.999999999999999
E05000271,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000272,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000273,100.0,100.0,100.0,100.0,200.0,3.0
E05000274,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000275,100.0,100.0,100.0,100.0,200.0,3.0
E05000276,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000277,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000278,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000279,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000280,100.0,100.0,100.0,100.0,200.0,3.0
E05000281,100.0,100.0,100.0,100.0,200.0,3.0
E05000282,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000283,100.0,100.0,100.0,100.0,200.0,3.0
E05000284,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000285,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000286,99.99999999999999,99.99999999999999,89.28640273589664,99.99999999999999,189.28640273589662,2.9999999999999996
E05000287,100.0,100.0,100.0,100.0,200.0,3.0
E05000288,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000289,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000290,100.0,100.0,91.5178315552933,100.0,191.5178315552933,3.0
E05000291,99.99999999999999,99.99999999999999,46.33205349540537,99.99999999999999,146.33205349540538,2.9110627266796705
E05000292,100.0,100.0,100.0,100.0,200.0,3.0
E05000293,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000294,100.0,100.0,100.0,100.0,200.0,3.0
E05000295,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000296,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000297,99.99999999999999,99.99999999999999,14.546809588416977,99.99999999999999,114.54680958841696,2.286487588878397
E05000298,100.00000000000001,100.00000000000001,59.281409152072676,100.00000000000001,159.28140915207265,3.0000000000000004
E05000299,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000300,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000301,100.0,100.0,100.0,100.0,200.0,3.0
E05000302,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000303,100.0,100.0,97.94386622296366,100.0,197.9438662229637,3.0000000000000004
E05000304,100.0,100.0,100.0,100.0,200.0,3.0
E05000305,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E05000306,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.000000000000001
E05000307,99.6467825208302,0.0,0.0,99.6467825208302,0.0,1.0
E05000308,100.0,97.62279704068726,100.0,100.0,197.6227970406873,3.0
E05000309,100.00000000000001,0.0,44.253833740010116,100.00000000000001,44.253833740010116,1.8326741491908753
E05000310,58.45452431463947,0.0,0.0,58.45452431463947,0.0,1.0
E05000311,100.00000000000001,43.60207748903067,85.7587690949299,100.00000000000001,129.36084658396058,2.63704995182249
E05000312,99.95194831585182,0.0,13.77374479790998,99.95194831585182,13.77374479790998,1.4061989364458773
E05000313,100.0,26.427748482475646,31.779580738106606,100.0,58.20732922058225,3.0
E05000314,100.0,0.0,47.35776663957738,100.0,47.35776663957738,1.6315708720031252
E05000315,100.0,77.65609307614841,100.0,100.0,177.6560930761484,2.9999999999999996
E05000316,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000317,100.0,45.51381678496853,100.0,100.0,145.51381678496855,3.0
E05000318,100.0,22.34495580072324,89.45321471639619,100.0,111.79817051711942,2.8205714884912716
E05000319,100.0,84.57793583342841,100.0,100.0,184.57793583342843,3.0
E05000320,100.00000000000001,25.613810978811625,91.45040868470224,100.00000000000001,117.06421966351385,2.503799608540162
E05000321,100.0,100.0,100.0,100.0,200.0,3.0
E05000322,99.99999999999999,0.8474817651737665,99.99451025123666,99.99999999999999,100.84199201641043,2.1193636288977133
E05000323,77.95214118605853,0.07057509086407278,4.3932994062885316,77.95214118605853,4.463874497152603,1.88218863580091
E05000324,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E05000325,100.00000000000001,100.00000000000001,34.3008151104768,100.00000000000001,134.3008151104768,2.6928919869354924
E05000326,99.99999999999999,99.99999999999999,0.0,99.99999999999999,99.99999999999999,2.0
E05000327,100.00000000000001,100.00000000000001,47.40990508993994,100.00000000000001,147.40990508993994,2.6930971374640187
E05000328,100.0,100.0,16.21322633133283,100.0,116.21322633133282,2.5268000006368867
E05000329,100.00000000000001,100.00000000000001,0.6330032379499352,100.00000000000001,100.63300323794992,2.0686554488015116
E05000330,93.44708218639711,93.15740354226473,0.0,93.44708218639711,93.15740354226473,2.0
E05000331,62.70522402107219,49.04512099605443,41.27360068234567,63.17551271679395,89.84843298267836,2.908675583044931
E05000332,99.99999999999999,99.99999999999999,0.0,99.99999999999999,99.99999999999999,2.0
E05000333,100.0,100.0,0.0,100.0,100.0,2.0
E05000334,100.00000000000001,100.00000000000001,0.0,100.00000000000001,100.00000000000001,2.0
E05000335,99.99999999999999,99.99999999999999,0.0,99.99999999999999,99.99999999999999,2.0
E05000336,99.99999999999999,99.99999999999999,0.0,99.99999999999999,99.99999999999999,2.0
E05000337,100.00000000000001,100.00000000000001,60.484165697272054,100.00000000000001,160.48416569727206,3.0
E05000338,100.0,100.0,45.1542109686955,100.0,145.1542109686955,2.6417102708485256
E05000339,100.0,100.0,99.41488601706207,100.0,199.41488601706206,3.0
E05000340,99.99999999999999,99.99999999999999,0.0,99.99999999999999,99.99999999999999,2.0
E05000341,92.26506997599586,95.46549621697501,0.0,95.8729244484581,91.85764174451275,2.0
E05000342,78.64628528973113,75.07974742205927,0.0,79.39512183740761,74.3309108743828,2.0
E05000343,100.0,100.0,0.0,100.0,100.0,2.0
E05000344,100.0,100.0,100.0,100.0,200.0,3.0
E05000345,93.1307846753513,97.65829291474755,0.0,97.65829291474755,93.1307846753513,2.0
E05000346,84.52733011118691,41.00361904460632,91.3391636507371,91.3391636507371,125.53094915579322,2.9999999999999996
E05000347,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.999999999999999
E05000348,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000349,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000350,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000351,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0000000000000004
E05000352,99.83255620479979,43.111700035042496,96.21281533797145,99.83748102230565,139.319590555508,2.9999999999999996
E05000353,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0000000000000004
E05000354,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000355,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000356,100.0,100.0,100.0,100.0,200.0,3.0
E05000357,100.0,100.0,100.0,100.0,200.0,3.0000000000000004
E05000358,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,2.9999999999999996
E05000359,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,2.999999999999999
E05000360,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
E05000361,100.0,100.0,100.0,100.0,200.0,2.9999999999999996
