"WD11CD","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types"
"E05000261",100.000000000007,0,78.037494286602,100.000000000007,78.037494286602,2
"E05000262",99.9999999999995,0,0,99.9999999999995,0,1
"E05000263",99.9999999999962,0,76.1260249140102,99.9999999999962,76.1260249140102,2
"E05000264",99.9999999999947,0,0,99.9999999999947,0,1
"E05000265",99.999999999991,0,82.0427588880818,99.999999999991,82.0427588880818,2
"E05000266",71.1258494120775,17.0442360280547,0,80.7231203146428,7.44696512548938,2
"E05000267",99.9999999999902,0.554736615329465,0,99.9999999999902,0.55473661532946,2
"E05000268",73.244454271417,0,74.1852951620377,81.6228656829465,65.8068837505083,2
"E05000269",100.000000000008,0,20.8449873689365,100.000000000008,20.8449873689365,2
"E05000270",67.4061251296794,25.2222663049567,0,84.2268391744558,8.4015522601803,2
"E05000271",99.9999999999972,0,43.8033377917614,99.9999999999972,43.8033377917614,2
"E05000272",92.3018017947639,0,0,92.3018017947639,0,1
"E05000273",100.00000000001,0,0,100.00000000001,0,1
"E05000274",63.4809402998195,0,0,63.4809402998195,0,1
"E05000275",100.000000000005,0,0,100.000000000005,0,1
"E05000276",98.0339094575667,58.8156891014309,0,98.0339094575667,58.8156891014309,2
"E05000277",99.9999831559603,0,38.8486367833254,100.000000000007,38.848619939279,2
"E05000278",86.9868830324782,0,67.0501485670458,100.000000000002,54.0370315995221,2
"E05000279",99.9999999999979,0,86.826927549903,99.9999999999979,86.826927549903,2
"E05000280",97.7540321641763,0,100.000000000002,100.000000000002,97.7540321641763,2
"E05000281",99.9999999999925,7.49771024858595,44.0123602615208,99.9999999999925,51.5100705101068,3
"E05000282",92.4973382545398,0,7.95611835158076,92.5971028109186,7.85635379520194,2
"E05000283",46.447896189177,0,0,46.447896189177,0,1
"E05000284",100.000000000003,0,0,100.000000000003,0,1
"E05000285",100.000000000008,0,0,100.000000000008,0,1
"E05000286",66.3495993075303,0,0,66.3495993075303,0,1
"E05000287",99.9999999999969,0,0,99.9999999999969,0,1
