MSOA11CD,express_coverage,superstore_coverage,extra_coverage,total_coverage,overlap_index,unique_types
E02000512,99.99999999999997,99.99999999999997,0.0,99.99999999999997,99.99999999999997,2.0
E02000513,100.0,100.0,100.0,100.0,200.0,3.0
E02000514,99.99999999999997,99.99999999999997,94.30470744827308,99.99999999999997,194.30470744827306,3.0
E02000515,88.74122127096324,97.02741617825941,0.0,97.02741617825941,88.74122127096324,2.0
E02000516,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000517,100.0,100.0,0.8762032817748465,100.0,100.87620328177483,2.2
E02000518,99.99999999999999,99.99999999999999,0.0,99.99999999999999,99.99999999999999,2.0
E02000519,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000520,99.99999999999999,99.99999999999999,68.91153613393412,99.99999999999999,168.9115361339341,3.0
E02000521,100.0,100.0,5.291513477867333,100.0,105.29151347786734,2.4
E02000522,96.53236777980479,93.31057066825024,0.0,98.13129823976843,91.71164020828658,2.0
E02000523,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000524,53.843250825008326,37.80998509883291,29.350663550559148,54.387950629734256,66.61594884466612,2.5
E02000525,100.0,100.0,99.70327149181205,100.0,199.70327149181205,3.0
E02000526,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000528,100.0,100.0,100.0,100.0,200.0,3.0
E02000529,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000530,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000531,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000532,100.0,100.0,100.0,100.0,200.0,3.0
E02000533,100.0,100.0,100.0,100.0,200.0,3.0
E02000534,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000535,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000536,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000537,100.0,100.0,100.0,100.0,200.0,3.0
E02000538,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000539,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000540,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000541,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,3.0
E02000542,100.0,100.0,100.0,100.0,200.0,3.0
E02000543,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000544,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000545,100.0,100.0,100.0,100.0,200.0,3.0
E02000546,100.0,100.0,100.0,100.0,200.0,3.0
E02000547,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000548,80.546688502021,25.825666531637733,89.11099709707861,89.11099709707861,106.37235503365872,3.0
E02000549,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000550,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,3.0
E02000551,100.0,100.0,100.0,100.0,200.0,3.0
E02000552,99.82649223380675,41.05149230732359,96.07566258227621,99.83159540340066,137.12205172000589,3.0
E02000553,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000554,100.0,100.0,100.0,100.0,200.0,3.0
E02000555,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000556,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000557,100.0,100.0,100.0,100.0,200.0,3.0
E02000558,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000559,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000560,100.0,100.0,100.0,100.0,200.0,3.0
E02000561,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000562,100.0,100.0,100.0,100.0,200.0,3.0
E02000563,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000564,100.0,100.0,100.0,100.0,200.0,3.0
E02000565,100.0,100.0,100.0,100.0,200.0,3.0
E02000566,100.0,100.0,100.0,100.0,200.0,3.0
E02000567,100.0,100.0,100.0,100.0,200.0,3.0
E02000568,100.0,100.0,100.0,100.0,200.0,3.0
E02000569,100.0,100.0,100.0,100.0,200.0,3.0
E02000570,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000571,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000572,100.0,100.0,100.0,100.0,200.0,3.0
E02000573,100.0,100.0,100.0,100.0,200.0,3.0
E02000574,100.0,100.0,100.0,100.0,200.0,3.0
E02000575,100.0,100.0,100.0,100.0,200.0,3.0
E02000576,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000577,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000578,100.0,100.0,100.0,100.0,200.0,3.0
E02000579,100.0,100.0,100.0,100.0,200.0,3.0
E02000580,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000581,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000582,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000583,100.0,100.0,100.0,100.0,200.0,3.0
E02000584,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000585,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000586,100.0,100.0,100.0,100.0,200.0,3.0
E02000587,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000588,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000589,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000590,100.0,100.0,100.0,100.0,200.0,3.0
E02000591,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000592,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000593,100.0,100.0,100.0,100.0,200.0,3.0
E02000594,100.0,100.0,100.0,100.0,200.0,3.0
E02000595,100.0,100.0,100.0,100.0,200.0,3.0
E02000596,100.0,100.0,100.0,100.0,200.0,3.0
E02000597,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000598,100.00000000000001,100.00000000000001,100.00000000000001,100.00000000000001,200.00000000000003,3.0
E02000599,100.0,100.0,100.0,100.0,200.0,3.0
E02000600,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,3.0
E02000601,100.0,100.0,100.0,100.0,200.0,3.0
E02000602,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000603,100.00000000000003,100.00000000000003,100.00000000000003,100.00000000000003,200.00000000000006,3.0
E02000604,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000605,100.0,100.0,100.0,100.0,200.0,3.0
E02000606,100.0,100.0,100.0,100.0,200.0,3.0
E02000607,100.0,100.0,100.0,100.0,200.0,3.0
E02000608,100.00000000000001,100.00000000000001,97.42251960981976,100.00000000000001,197.42251960981974,3.0
E02000609,100.0,100.0,100.0,100.0,200.0,3.0
E02000610,100.0,100.0,81.50091832065313,100.0,181.50091832065314,3.0
E02000611,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000612,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000613,99.99999999999999,99.99999999999999,18.152358592074066,99.99999999999999,118.15235859207405,2.5
E02000614,100.00000000000004,100.00000000000004,41.07003191968456,100.00000000000004,141.0700319196846,2.8
E02000615,100.0,100.0,0.0,100.0,100.0,2.0
E02000616,100.0,100.0,0.0,100.0,100.0,2.0
E02000617,99.83589918125446,99.7613079000065,0.0,99.83589918125446,99.7613079000065,2.0
E02000619,100.0,100.0,100.0,100.0,200.0,3.0
E02000620,100.0,100.0,100.0,100.0,200.0,3.0
E02000621,99.99999999999997,99.99999999999997,99.99999999999997,99.99999999999997,199.99999999999994,3.0
E02000622,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000623,99.99999999999999,99.99999999999999,99.99999999999999,99.99999999999999,199.99999999999997,3.0
E02000624,100.0,100.0,100.0,100.0,200.0,3.0
