"MSOA11CD","express_coverage","extra_coverage","superstore_coverage","total_coverage","overlap_index","unique_types","cluster","imd_score","income","employment","education","health","crime","barriers","living_environment"
"E02000803",93.2317807753403,0,0,93.2317807753403,0,1,"1",18.2449440741512,0.135646219537596,0.108333680483233,10.3296243490939,-0.738688294105395,0.293968652364091,30.0938365965424,17.4628023328473
"E02000804",20.4671035781729,0,59.6725360295593,60.5759555270851,19.5636840806471,2,"4",7.7024337299959,0.0628288879770209,0.0468912597455888,1.1636896457393,-1.47080180549856,-0.283876213924224,20.2016927916838,24.5580447271235
"E02000805",49.5587482903054,0,14.470496818069,60.030731787872,3.99851332050244,2,"4",9.96061223773154,0.0739327539285401,0.0623997015187429,2.29264305153191,-1.19926678957071,0.247531296637696,20.5626680712843,25.2990720744447
"E02000806",10.6738904490593,0,35.1795891615865,44.8550870525298,0.998392558116038,2,"4",9.79409830475448,0.0714540140296181,0.0585008768511302,4.76489857755261,-1.53861779033515,0.278400136399065,17.5314732073266,22.6757945245518
"E02000807",99.9999999999987,73.3221574285261,0,99.9999999999987,73.3221574285261,2,"2",14.535965702979,0.0923786962734968,0.0618607233153787,11.4203945256678,-0.22166043750687,0.165459931845663,25.6902232604155,26.6634975266571
"E02000808",99.9999999999903,0,0,99.9999999999903,0,1,"1",21.8666550758234,0.140563701342606,0.0877138993528446,8.06329237902057,0.195226407804501,0.119420457838308,28.2050630735053,52.1220870279146
"E02000809",100.000000000007,0,23.9916775853177,100.000000000007,23.9916775853177,2,"1",16.9198497127306,0.0875685666767463,0.0552171152101603,11.8827016933777,-0.286057605080133,0.0184919110976716,21.8290275173874,50.2899410341699
"E02000810",99.9999999999943,12.3255277371556,67.7440473629638,99.9999999999943,80.0695751001195,3,"3",31.7096007055805,0.218429441949968,0.125638790891597,14.1400789769083,0.571254570237332,1.10480067350866,31.1117149615138,41.5362347658756
"E02000812",100.000000000003,0,53.2577553243628,100.000000000003,53.2577553243628,2,"3",29.5236656009028,0.191601184878691,0.118386590182434,12.5612619898439,0.403466146323115,0.97501325935678,32.1745026330638,44.7346463231145
"E02000813",97.8037083240063,100.000000000029,0,100.000000000029,97.8037083240063,2,"2",34.7930489919158,0.239891204831012,0.150840167527028,14.8475430018506,0.47793600857115,1.29801490211357,33.2743862861595,38.902914483296
"E02000814",100.000000000018,84.4343264640222,0,100.000000000018,84.4343264640222,2,"2",19.6954367917263,0.11724557157003,0.0735045659588514,10.0635088568599,-0.0217070084717791,0.633960501705358,26.3554626471559,36.7592899108813
