lsoa_code,imd_score,income,employment,education,health,crime,barriers,living_environment
E01028913,15.51,0.063,0.05,11.042,-1.002,-0.974,40.141,52.174
E01028918,11.105,0.074,0.076,8.32,-0.326,-1.186,23.483,26.575
E01028919,10.9,0.066,0.057,5.85,-0.747,-1.231,33.629,29.192
E01028927,16.598,0.1,0.112,9.847,-0.156,-0.223,27.541,26.851
E01028928,18.542,0.155,0.124,19.192,-0.258,-0.818,22.325,24.778
E01028914,25.528,0.111,0.093,30.467,-0.543,-0.829,46.993,54.339
E01028915,12.082,0.084,0.071,15.886,-0.735,-1.056,20.551,34.898
E01028922,21.817,0.073,0.085,8.464,-0.477,-0.373,46.235,61.271
E01028923,15.094,0.079,0.069,4.789,-0.898,-0.64,43.3,34.052
E01028861,10.124,0.07,0.055,9.206,-0.496,-1.117,26.155,27.196
E01028870,18.33,0.068,0.062,8.218,-0.81,-1.155,47.105,54.728
E01028883,9.694,0.051,0.038,8.814,-0.496,-1.214,34.184,23.348
E01028884,11.741,0.106,0.09,17.694,-0.145,-0.893,8.761,11.037
E01028929,7.952,0.062,0.044,12.253,-0.689,-0.184,25.131,5.896
E01028969,17.077,0.058,0.057,12.555,-0.71,-1.188,43.417,53.45
E01028970,14.48,0.057,0.061,5.599,0.008,-0.26,36.107,36.737
E01028971,15.8,0.088,0.078,8.437,-0.304,-1.001,37.337,35.411
E01028978,21.864,0.098,0.077,18.013,-0.397,-0.767,46.71,50.362
E01028979,17.506,0.088,0.04,12.771,-0.513,-0.211,43.258,44.643
E01028933,21.141,0.144,0.111,36.575,0.186,0.324,9.017,23.029
E01028934,35.616,0.273,0.187,52.731,0.762,0.249,22.209,13.327
E01028956,11.173,0.071,0.076,18.567,-0.158,0.216,13.55,7.471
E01028957,52.612,0.375,0.255,70.176,1.39,0.76,20.685,9.293
E01028958,22.926,0.169,0.137,38.968,0.66,-0.149,9.607,6.058
E01028932,6.556,0.043,0.049,10.502,-0.605,-0.772,25.321,4.8
E01028981,10.713,0.084,0.071,13.585,-0.802,0.179,6.636,24.403
E01028982,19.968,0.153,0.107,36.33,0.218,-0.369,10.342,22.427
E01028983,36.044,0.252,0.204,56.12,0.835,0.26,19.948,12.099
E01028930,10.247,0.082,0.06,7.944,-0.732,-0.241,27.744,14.7
E01028931,18.702,0.117,0.108,22.149,0.144,0.129,12.81,33.046
E01028944,23.194,0.151,0.123,35.486,0.22,0.44,19.471,20.979
E01028945,22.56,0.18,0.123,12.623,0.312,0.645,10.709,33.553
E01028965,24.967,0.18,0.172,35.609,0.709,-0.436,14.241,5.155
E01028966,6.039,0.044,0.066,12.73,-0.262,-1.092,10.518,2.96
E01028967,41.052,0.311,0.226,62.327,1.018,-0.011,17.093,10.519
E01028968,23.281,0.187,0.143,38.83,0.448,-0.432,14.866,6.959
E01028988,13.467,0.112,0.093,13.443,-0.155,-0.322,5.225,25.671
E01028989,19.283,0.148,0.124,25.654,0.177,0.401,12.831,6.013
E01028946,20.698,0.082,0.084,6.395,0.374,0.64,14.697,64.61
E01028972,3.746,0.043,0.043,1.651,-0.782,-1.617,14.791,14.045
E01028973,15.121,0.114,0.084,7.868,-0.021,0.028,9.393,40.36
E01028987,13.546,0.102,0.056,3.61,0.104,0.215,9.662,42.46
E01028941,12.251,0.101,0.088,6.981,0.062,0.128,16.178,7.23
E01028942,5.457,0.044,0.044,2.369,-0.42,-1.464,26.158,5.536
E01028943,14.576,0.101,0.107,5.837,0.188,-0.489,19.666,22.978
E01028951,11.29,0.102,0.106,3.225,-0.201,-0.337,16.948,5.822
E01028953,3.623,0.046,0.046,3.174,-0.78,-1.132,9.947,11.518
E01028947,6.962,0.049,0.093,4.218,-0.246,-0.704,10.79,2.709
E01028948,19.668,0.144,0.148,23.738,0.339,-0.914,17.994,10.645
E01028949,5.061,0.056,0.055,4.82,-0.804,-0.734,10.509,12.708
E01028985,7.079,0.057,0.059,8.472,-0.417,-0.852,19.823,10.024
E01028938,12.44,0.094,0.076,6.526,-0.188,0.114,8.042,33.637
E01028939,12.328,0.092,0.076,3.457,-0.284,-0.056,14.633,36.808
E01028984,22.731,0.18,0.127,19.894,0.596,-0.655,29.625,11.958
E01028986,7.106,0.057,0.063,11.001,-0.594,-0.34,12.892,11.0
E01028940,12.012,0.106,0.085,5.763,-0.33,-0.326,15.068,25.789
E01028952,5.509,0.06,0.069,4.287,-0.336,-1.1,5.167,5.618
E01028962,36.889,0.262,0.203,61.283,0.771,-0.565,24.369,17.334
E01028963,5.068,0.032,0.043,2.47,-0.675,0.106,13.296,13.432
E01028964,2.62,0.041,0.035,2.331,-0.869,-0.89,13.775,4.046
E01028974,4.134,0.026,0.037,2.837,-0.959,-0.221,17.583,11.094
E01028935,5.38,0.059,0.07,6.285,-0.531,-0.822,4.801,3.371
E01028936,6.31,0.054,0.063,4.085,-0.308,-0.552,6.618,14.695
E01028937,9.109,0.084,0.073,14.885,0.096,-1.519,3.439,5.411
E01028959,17.675,0.081,0.083,8.983,-0.451,-0.309,41.805,37.27
E01028853,23.042,0.187,0.163,26.105,0.352,-0.318,16.608,10.902
E01028854,7.737,0.07,0.082,9.209,-0.413,-0.984,10.346,7.882
E01028855,7.568,0.049,0.051,5.16,-0.87,-0.02,26.293,11.15
E01028856,12.645,0.119,0.091,7.738,-0.331,-0.289,13.141,22.372
E01028857,15.369,0.09,0.074,9.889,-0.477,-0.057,34.764,29.879
E01028954,13.717,0.059,0.075,6.09,-0.419,-0.494,38.643,27.604
E01028955,18.661,0.137,0.118,11.588,0.38,-0.495,30.27,9.782
E01028975,15.715,0.133,0.099,17.724,0.335,-0.678,15.451,12.785
E01028976,11.98,0.052,0.048,7.0,-0.656,-0.351,41.317,22.704
E01028977,9.73,0.082,0.081,8.169,-0.372,-0.964,15.041,19.508
E01028826,12.962,0.117,0.083,18.485,-0.525,-0.942,19.595,18.711
E01028827,12.95,0.107,0.096,21.765,-0.051,-1.546,15.192,7.331
E01028844,10.678,0.018,0.015,19.011,-0.725,-1.159,37.794,25.734
E01028845,4.333,0.05,0.048,5.691,-0.667,-1.156,4.646,14.032
E01028950,12.99,0.08,0.056,8.373,-0.526,-1.154,36.222,31.507
E01028960,19.006,0.063,0.054,3.867,-0.665,-1.843,51.186,59.707
E01028961,18.005,0.047,0.047,8.102,-1.017,-2.008,53.414,55.754
E01028980,20.486,0.088,0.08,12.056,-0.457,-0.841,44.643,52.952
E01028838,23.288,0.178,0.147,38.902,0.121,0.06,11.754,14.008
E01028839,7.471,0.057,0.075,8.018,-0.256,-0.457,10.335,8.697
E01028840,14.77,0.115,0.113,24.296,-0.294,-0.361,11.118,11.779
E01028841,22.026,0.13,0.097,21.557,0.065,0.517,28.832,35.037
E01028850,15.418,0.061,0.053,7.687,-1.012,-0.615,42.959,47.698
E01028851,14.175,0.072,0.069,5.406,-0.658,-0.544,36.268,39.278
E01028852,14.594,0.099,0.093,15.425,-0.199,-1.038,18.616,34.361
E01028991,20.438,0.072,0.061,10.743,-0.379,-0.664,44.325,63.867
E01028992,22.292,0.139,0.128,22.972,0.193,-0.711,11.248,53.163
E01033529,20.386,0.067,0.065,16.447,-0.577,-1.079,45.535,60.359
E01033530,20.558,0.068,0.077,13.748,-0.686,-0.988,44.98,60.798
E01028830,11.262,0.08,0.079,6.674,-0.559,-0.497,23.626,24.805
E01028831,4.206,0.035,0.055,4.673,-0.757,-1.396,19.225,4.535
E01028836,23.245,0.185,0.165,27.724,0.595,-0.687,11.353,11.685
E01028837,7.98,0.068,0.064,16.392,-0.592,-1.036,7.527,16.672
E01028990,19.622,0.06,0.034,9.677,-1.041,-1.294,51.431,65.322
E01028997,9.038,0.073,0.073,3.041,-0.474,-0.661,21.497,18.135
E01028998,11.134,0.081,0.079,10.087,-0.49,-0.26,18.575,22.735
E01028832,14.347,0.114,0.085,11.347,-0.447,0.061,12.071,35.66
E01028833,9.877,0.073,0.08,4.893,-0.083,-0.343,8.459,23.064
E01028834,19.607,0.14,0.117,21.971,-0.039,-0.832,22.768,33.523
E01028835,13.722,0.09,0.082,19.748,-0.369,-0.579,17.094,32.282
E01028828,20.28,0.107,0.086,19.897,-0.478,-1.03,34.241,54.377
E01028829,9.099,0.097,0.089,9.342,-0.532,-1.158,3.483,11.648
E01028842,13.989,0.069,0.047,6.94,-0.933,-0.686,32.935,53.76
E01028847,22.099,0.082,0.074,13.505,-0.514,0.093,46.354,55.45
E01028859,20.124,0.087,0.062,9.907,-0.27,-0.839,43.74,59.08
E01028843,17.726,0.072,0.05,13.264,-0.68,-1.396,39.794,61.055
E01028846,19.355,0.073,0.066,10.609,-0.828,-0.846,48.328,53.32
E01028848,9.886,0.085,0.073,24.847,-0.581,-1.28,11.257,9.611
E01028849,26.205,0.223,0.148,38.701,0.046,-0.563,9.802,36.648
E01028858,19.159,0.056,0.05,9.163,-1.171,-1.078,48.035,66.518
E01028993,22.52,0.057,0.063,15.237,-0.729,-1.899,55.084,66.702
E01029004,22.337,0.068,0.051,12.204,-0.546,-1.166,53.818,67.5
E01029013,18.626,0.096,0.073,27.453,-0.257,-0.229,23.637,50.464
E01029014,30.249,0.254,0.166,48.98,0.548,-0.158,14.992,14.021
E01029015,22.625,0.07,0.063,12.688,-0.534,-0.844,51.524,65.417
E01028994,18.011,0.089,0.091,26.379,-0.772,-1.997,25.189,52.74
E01029003,22.091,0.074,0.059,13.274,-1.314,-0.995,52.515,66.292
E01029005,18.886,0.064,0.072,11.74,-0.368,-1.54,36.921,65.157
E01029016,20.708,0.056,0.059,13.223,-0.655,-0.827,48.189,65.309
E01029006,14.596,0.126,0.085,22.417,0.137,-0.526,8.337,17.04
E01029007,40.842,0.294,0.222,58.316,0.84,0.429,19.911,20.424
E01029009,7.14,0.051,0.043,11.055,-0.654,-0.74,19.127,21.173
E01029010,22.654,0.165,0.135,43.472,0.095,-0.867,17.051,20.617
E01029011,19.25,0.143,0.13,28.542,0.209,-1.005,21.055,10.33
E01029012,11.493,0.07,0.067,14.301,-0.648,-0.623,28.785,21.362
E01033526,30.698,0.219,0.181,17.644,0.67,0.596,16.202,41.051
E01033527,15.359,0.095,0.075,8.528,0.113,0.295,20.092,34.329
E01028995,12.881,0.075,0.057,20.777,-0.502,-0.643,14.569,45.334
E01028996,19.126,0.069,0.068,6.39,-0.912,-1.853,47.005,61.029
E01028999,21.727,0.089,0.077,26.63,-0.512,-0.966,42.061,54.072
E01029000,22.641,0.085,0.069,20.635,-0.387,-0.734,46.311,59.882
E01029001,9.559,0.048,0.055,9.941,-1.005,-0.018,24.209,27.862
E01029002,23.632,0.167,0.133,27.287,-0.141,-0.057,9.05,50.567
E01016450,41.409,0.273,0.175,41.474,0.754,1.725,32.606,14.478
E01016451,39.706,0.266,0.184,36.429,0.868,1.501,29.578,13.097
E01016452,29.05,0.17,0.135,33.844,0.682,1.104,25.557,13.165
E01016453,24.534,0.132,0.123,23.193,-0.019,1.253,29.481,13.076
E01016454,31.036,0.176,0.159,34.384,0.607,1.275,24.15,13.891
E01016455,30.993,0.177,0.127,35.179,0.186,1.945,26.549,12.757
E01016483,21.289,0.144,0.092,21.294,-0.078,0.686,24.096,32.86
E01016484,26.267,0.133,0.112,20.948,0.128,1.191,26.599,40.888
E01016485,22.508,0.142,0.107,27.623,0.038,0.75,21.917,27.345
E01016486,28.131,0.2,0.159,32.918,0.225,-0.223,35.034,18.931
E01016487,20.537,0.157,0.098,24.887,-0.163,0.516,21.988,24.969
E01016488,20.015,0.132,0.09,23.297,-0.411,1.039,20.261,23.501
E01016493,12.031,0.092,0.045,11.444,-0.293,0.254,25.329,18.374
E01016494,20.336,0.096,0.073,10.825,-0.528,0.626,33.455,53.699
E01016495,13.02,0.07,0.043,12.707,-0.448,0.18,30.376,31.06
E01016496,22.221,0.186,0.104,21.206,0.494,0.386,18.3,20.952
E01016497,11.912,0.063,0.056,8.312,-0.583,0.949,21.595,16.944
E01016498,27.842,0.161,0.113,27.257,0.393,1.096,35.838,16.703
E01016499,28.178,0.217,0.148,26.632,0.425,-0.104,36.56,14.447
E01016444,27.365,0.206,0.135,34.091,0.163,0.625,26.015,19.873
E01016445,29.8,0.213,0.142,29.148,0.447,0.846,33.026,11.862
E01016446,25.435,0.195,0.13,23.756,0.269,0.451,25.79,24.789
